legacy_row,display_name,legal_name,region,stbpn,cash_waqf_license_number,primary_contact_name,primary_contact_phone,source,verification_status,membership_status,proposed_tier,review_notes,reviewed_at
1,Lembaga Kenazhiran (LK) BWI PUSAT,BADAN WAKAF INDONESIA,Banten,3.3.00001,,,,pelatihan_juli_2026,unverified,unknown,,,
2,Baitul Mal Muamalat,YAYASAN BAITULMAAL MUAMALAT (BMM),Banten,3.3.00006,,,,pelatihan_juli_2026,unverified,unknown,,,
3,Wakaf Al-Azhar,YAYASAN PESANTREN ISLAM AL-AZHAR,Banten,3.3.00033,,,,pelatihan_juli_2026,unverified,unknown,,,
4,Rumah Wakaf Indonesia,YAYASAN RUMAH WAKAF INDONESIA,Jawa Barat,3.3.00049,,,,pelatihan_juli_2026,unverified,unknown,,,
5,Wakaf Bangun Nurani Bangsa ESQ,YAYASAN WAKAF BANGUN NURANI BANGSA (ESQ),Banten,3.3.00051,,,,pelatihan_juli_2026,unverified,unknown,,,
6,Yayasan Yatim Mandiri (Wakaf Mandiri),YAYASAN YATIM MANDIRI,Jawa Timur,3.3.00052,,,,pelatihan_juli_2026,unverified,unknown,,,
7,Sinergi Foundation,YAYASAN SEMAI SINERGI UMAT,Jawa Barat,3.3.00056,,,,pelatihan_juli_2026,unverified,unknown,,,
8,Dompet Dhuafa Republika,YAYASAN DOMPET DHUAFA REPUBLIKA,Banten,3.3.00100,,,,pelatihan_juli_2026,unverified,unknown,,,
9,Wakaf Daarut Tauhiid,YAYASAN DAARUT TAUHIID,Jawa Barat,3.3.00101,,,,pelatihan_juli_2026,unverified,unknown,,,
10,YAKESMA,YAYASAN KESEJAHTERAAN MADANI,Banten,3.3.00102,,,,pelatihan_juli_2026,unverified,unknown,,,
11,LAZNAS MANDIRI AMAL INSANI,YAYASAN MANDIRI AMAL INSANI,Banten,3.3.00133,,,,pelatihan_juli_2026,unverified,unknown,,,
12,YPM Salman ITB,YAYASAN PEMBINA MASJID SALMAN ITB,Jawa Barat,3.3.00170,,,,pelatihan_juli_2026,unverified,unknown,,,
13,Inisiatif Wakaf,YAYASAN INISIATIF WAKAF,Jawa Barat,3.3.00172,,,,pelatihan_juli_2026,unverified,unknown,,,
14,Baitul Wakaf,BAITUL WAKAF,Banten,3.3.00175,,,,pelatihan_juli_2026,unverified,unknown,,,
15,Tazakka,YAYASAN TAZAKKA BATANG,Jawa Tengah,3.3.00188,,,,pelatihan_juli_2026,unverified,unknown,,,
16,Daarul Quran Nusantara,YAYASAN DAARUL QURAN NUSANTARA,Banten,3.3.00192,,,,pelatihan_juli_2026,unverified,unknown,,,
17,BSI Maslahat,YAYASAN BANGUN SEJAHTERA INDONESIA MASLAHAT,Banten,3.3.00201,,,,pelatihan_juli_2026,unverified,unknown,,,
18,Nazhir Yayasan Bina Tsaqofah (SEBI Social Fund),YAYASAN BINA TSAQOFAH,Jawa Barat,3.3.00202,,,,pelatihan_juli_2026,unverified,unknown,,,
19,Yayasan Waqaf Ar Risalah,YAYASAN WAQAF AR RISALAH,Sumatera Barat,3.3.00205,,,,pelatihan_juli_2026,unverified,unknown,,,
20,LAZ Solopeduli,YAYASAN SOLO PEDULI UMMAT,Jawa Tengah,3.3.00224,,,,pelatihan_juli_2026,unverified,unknown,,,
21,Masjid Raya Bintaro Jaya Tangerang Selatan,YAYASAN MASJID RAYA BINTARO JAYA TANGERANG SELATAN,Banten,3.3.00227,,,,pelatihan_juli_2026,unverified,unknown,,,
22,Dompet Sosial Madani Bali,YAYASAN DOMPET SOSIAL MADANI BALI,Bali,3.3.00229,,,,pelatihan_juli_2026,unverified,unknown,,,
23,Lembaga Manajemen Infaq,YAYASAN LEMBAGA MANAJEMEN INFAQ UKHUWAH ISLAMIYAH,Jawa Timur,3.3.00231,,,,pelatihan_juli_2026,unverified,unknown,,,
24,Lazis Al Hilal Rancapanggung,YAYASAN AL HILAL RANCAPANGGUNG,Jawa Barat,3.3.00232,,,,pelatihan_juli_2026,unverified,unknown,,,
25,Nurul Taqwa,YAYASAN NURUL TAQWA,Banten,3.3.00235,,,,pelatihan_juli_2026,unverified,unknown,,,
26,Unit Wakaf dan Dana Sosial IPB University,INSTITUT PERTANIAN BOGOR,Jawa Barat,3.3.00237,,,,pelatihan_juli_2026,unverified,unknown,,,
27,Harapan Dhuafa Banten,YAYASAN HARAPAN DHUAFA BANTEN (HARFA),Banten,3.3.00253,,,,pelatihan_juli_2026,unverified,unknown,,,
28,LAZISMU TRENSAINS,PERSYARIKATAN MUHAMMADIYAH,Banten,3.3.00262,,,,pelatihan_juli_2026,unverified,unknown,,,
29,Yayasan Dana Sosial Al Falah,YAYASAN DANA SOSIAL AL FALAH SURABAYA,Jawa Timur,3.3.00278,,,,pelatihan_juli_2026,unverified,unknown,,,
30,Yayasan Badan Wakaf Assyifa,YAYASAN BADAN WAKAF ASSYIFA ALKHOERIYYAH,Jawa Barat,3.3.00280,,,,pelatihan_juli_2026,unverified,unknown,,,
31,Yayasan Baitul Maal PLN,YAYASAN BAITUL MAAL PLN,Banten,3.3.00304,,,,pelatihan_juli_2026,unverified,unknown,,,
32,Wakaf Mulia Institute,YAYASAN PENDIDIKAN WAKAF MULIA INDONESIA,Banten,3.3.00308,,,,pelatihan_juli_2026,unverified,unknown,,,
33,Yayasan Amanah Kemanusiaan Global (AMAL),YAYASAN AMAN PALESTIN INDONESIA,Banten,3.3.00325,,,,pelatihan_juli_2026,unverified,unknown,,,
34,Yayasan Marwah Wakaf Indonesia,YAYASAN MARWAH WAKAF INDONESIA,Jawa Barat,3.3.00327,,,,pelatihan_juli_2026,unverified,unknown,,,
35,Lembaga Wakaf JSIT Indonesia,YAYASAN JARINGAN SEKOLAH ISLAM TERPADU INDONESIA,Jawa Barat,3.3.00333,,,,pelatihan_juli_2026,unverified,unknown,,,
36,Wakaf Warior,YAYASAN BERKAH ANAK NEGERI,Jawa Barat,3.3.00335,,,,pelatihan_juli_2026,unverified,unknown,,,
37,Wakaf Orbit,YAYASAN ADARA RELIEF INTERNASIONAL,Banten,3.3.00336,,,,pelatihan_juli_2026,unverified,unknown,,,
38,Harapan Amal Mulia,YAYASAN HARAPAN AMAL MULIA,Jawa Barat,3.3.00341,,,,pelatihan_juli_2026,unverified,unknown,,,
39,Perkumpulan Hasmi,PERKUMPULAN HASMI,Jawa Barat,3.3.00346,,,,pelatihan_juli_2026,unverified,unknown,,,
40,Lembaga Wakaf Persis (LWP),PERKUMPULAN PERSATUAN ISLAM,Jawa Barat,3.3.00360,,,,pelatihan_juli_2026,unverified,unknown,,,
41,Yayasan Islam Al Huda Bogor Indonesia,YAYASAN ISLAM AL HUDA BOGOR INDONESIA,Jawa Barat,3.3.00370,,,,pelatihan_juli_2026,unverified,unknown,,,
42,Peduli Fajar Imani,YAYASAN PEDULI FAJAR IMANI,Jawa Barat,3.3.00371,,,,pelatihan_juli_2026,unverified,unknown,,,
43,Yayasan Amal Produktif Indonesia,YAYASAN AMAL PRODUKTIF INDONESIA,Jawa Barat,3.3.00386,,,,pelatihan_juli_2026,unverified,unknown,,,
44,Rumah Itqon Zakat dan Infak (RIZKI),YAYASAN RUMAH ITQON ZAKAT DAN INFAK,Jawa Timur,3.3.00387,,,,pelatihan_juli_2026,unverified,unknown,,,
45,Lembaga Wakaf Doa Bangsa,YAYASAN PEMBINA PENDIDIKAN DOA BANGSA,Jawa Barat,3.3.00401,,,,pelatihan_juli_2026,unverified,unknown,,,
46,Yayasan Wakaf Indonesia Bersatu (Wahdah Islamiyah),YAYASAN WAKAF INDONESIA BERSATU,Sulawesi Selatan,3.3.00405,,,,pelatihan_juli_2026,unverified,unknown,,,
